salmon_Module-KEGG_Ensembl-Gene-Rankings.txt	
salmon_Module-KEGG_Ensembl-Gene-Rankings.txt	GeneID	Symbol	Description	#GO-Terms Associated	Percent GO-Terms Associated	UID-str	GO Names
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000092820	EZR	ezrin [Source:HGNC Symbol;Acc:HGNC:12691]	19	0.139705882353	ENSG00000092820	establishment of endothelial barrier // cell-substrate junction // regulation of cell shape // protein domain specific binding // extracellular region part // filopodium // ciliary basal body // actin binding // apical part of cell // plasma membrane part // membrane to membrane docking // actin filament binding // adherens junction // cell projection assembly // ruffle // leukocyte cell-cell adhesion // actin filament // plasma membrane // membrane raft
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000137076	TLN1	talin 1 [Source:HGNC Symbol;Acc:HGNC:11845]	18	0.132352941176	ENSG00000137076	muscle system process // cell-substrate junction // protein domain specific binding // extracellular region part // actin binding // coagulation // cell activation // cortical cytoskeleton organization // plasma membrane part // regulation of body fluid levels // cell surface // actin filament binding // adherens junction // cell-cell junction // cell junction assembly // ruffle // integrin binding // plasma membrane
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000041982	TNC	tenascin C [Source:HGNC Symbol;Acc:HGNC:5318]	18	0.132352941176	ENSG00000041982	developmental growth // response to mechanical stimulus // response to prostaglandin // extracellular matrix part // extracellular region part // wound healing // response to fibroblast growth factor // response to alcohol // regulation of cell adhesion // regeneration // positive regulation of cell proliferation // cellular response to lipid // cellular response to organic cyclic compound // cellular response to endogenous stimulus // extracellular structure organization // response to retinoic acid // reproductive process // odontogenesis of dentin-containing tooth
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000114353	GNAI2	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2 [Source:HGNC Symbol;Acc:HGNC:4385]	17	0.125	ENSG00000114353	molecular transducer activity // metal ion binding // negative regulation of lyase activity // extracellular region part // adenylate cyclase-modulating G-protein coupled receptor signaling pathway // coagulation // cell activation // negative regulation of synaptic transmission // positive regulation of intracellular signal transduction // plasma membrane part // positive regulation of cell proliferation // regulation of body fluid levels // regulation of localization // negative regulation of cyclase activity // G-protein beta/gamma-subunit complex binding // plasma membrane // membrane raft
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000065135	GNAI3	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 3 [Source:HGNC Symbol;Acc:HGNC:4387]	17	0.125	ENSG00000065135	molecular transducer activity // metal ion binding // protein domain specific binding // organelle membrane fusion // negative regulation of lyase activity // extracellular region part // adenylate cyclase-modulating G-protein coupled receptor signaling pathway // coagulation // cell activation // G-protein coupled serotonin receptor binding // plasma membrane part // regulation of body fluid levels // negative regulation of cyclase activity // G-protein beta/gamma-subunit complex binding // plasma membrane // membrane raft // lysosomal membrane
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000136167	LCP1	lymphocyte cytosolic protein 1 (L-plastin) [Source:HGNC Symbol;Acc:HGNC:6528]	16	0.117647058824	ENSG00000136167	cell-substrate junction // metal ion binding // extracellular region part // filopodium // actin binding // cell activation // regeneration // plasma membrane part // actin filament binding // adherens junction // regulation of localization // ruffle // homotypic cell-cell adhesion // leukocyte cell-cell adhesion // actin filament // plasma membrane
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000196126	HLA-DRB1	major histocompatibility complex, class II, DR beta 1 [Source:HGNC Symbol;Acc:HGNC:4948]	15	0.110294117647	ENSG00000196126	molecular transducer activity // peptide antigen binding // response to other organism // extracellular region part // negative regulation of immune system process // inflammatory response // ER to Golgi transport vesicle membrane // interferon-gamma-mediated signaling pathway // regulation of cell adhesion // plasma membrane part // cell surface // regulation of localization // integral component of lumenal side of endoplasmic reticulum membrane // plasma membrane // lysosomal membrane
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000137845	ADAM10	ADAM metallopeptidase domain 10 [Source:HGNC Symbol;Acc:HGNC:188]	15	0.110294117647	ENSG00000137845	metal ion binding // protein domain specific binding // extracellular region part // integrin-mediated signaling pathway // cell activation // protein dimerization activity // regulation of cell adhesion // plasma membrane part // positive regulation of cell proliferation // cell surface // regulation of localization // extracellular structure organization // integrin binding // response to tumor necrosis factor // plasma membrane
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000135424	ITGA7	integrin, alpha 7 [Source:HGNC Symbol;Acc:HGNC:6143]	15	0.110294117647	ENSG00000135424	cell-substrate junction // metal ion binding // cell-substrate adhesion // regulation of cell shape // laminin binding // integrin-mediated signaling pathway // protein dimerization activity // protein complex involved in cell adhesion // plasma membrane part // cell surface // adherens junction // synapse // extracellular structure organization // integrin binding // plasma membrane
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000088256	GNA11	guanine nucleotide binding protein (G protein), alpha 11 (Gq class) [Source:HGNC Symbol;Acc:HGNC:4379]	15	0.110294117647	ENSG00000088256	molecular transducer activity // dopamine receptor signaling pathway // metal ion binding // extracellular region part // adenylate cyclase-modulating G-protein coupled receptor signaling pathway // coagulation // response to pH // cell activation // G-protein coupled serotonin receptor binding // plasma membrane part // regulation of body fluid levels // G-protein beta/gamma-subunit complex binding // skeletal system development // plasma membrane // lysosomal membrane
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000196139	AKR1C3	aldo-keto reductase family 1, member C3 [Source:HGNC Symbol;Acc:HGNC:386]	14	0.102941176471	ENSG00000196139	molecular transducer activity // renal system process // oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor // response to prostaglandin // keratinocyte differentiation // response to corticosteroid // extracellular region part // positive regulation of intracellular signal transduction // positive regulation of cell proliferation // cellular response to lipid // regulation of endothelial cell apoptotic process // cellular response to organic cyclic compound // cellular response to endogenous stimulus // reproductive process
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000185043	CIB1	calcium and integrin binding 1 (calmyrin) [Source:HGNC Symbol;Acc:HGNC:16920]	14	0.102941176471	ENSG00000185043	metal ion binding // extracellular region part // negative regulation of immune system process // anatomical structure formation involved in morphogenesis // regulation of cell adhesion // positive regulation of intracellular signal transduction // negative regulation of protein complex disassembly // plasma membrane part // positive regulation of cell proliferation // regulation of localization // cellular response to endogenous stimulus // response to tumor necrosis factor // reproductive process // plasma membrane
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000171885	AQP4	aquaporin 4 [Source:HGNC Symbol;Acc:HGNC:637]	14	0.102941176471	ENSG00000171885	renal system process // sensory perception of sound // response to corticosteroid // multi-multicellular organism process // response to alcohol // plasma membrane part // fluid transport // regulation of body fluid levels // cellular response to lipid // cell-cell junction // cellular response to organic cyclic compound // cellular response to endogenous stimulus // reproductive process // plasma membrane
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000132470	ITGB4	integrin, beta 4 [Source:HGNC Symbol;Acc:HGNC:6158]	14	0.102941176471	ENSG00000132470	molecular transducer activity // cell-substrate junction // cell-substrate adhesion // extracellular matrix part // extracellular region part // integrin-mediated signaling pathway // protein complex involved in cell adhesion // plasma membrane part // cell surface // cell junction assembly // cell projection assembly // multicellular organismal development // extracellular structure organization // plasma membrane
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000127314	RAP1B	RAP1B, member of RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9857]	14	0.102941176471	ENSG00000127314	establishment of endothelial barrier // regulation of cell junction assembly // extracellular region part // coagulation // cellular response to nitrogen compound // cell activation // negative regulation of synaptic transmission // positive regulation of intracellular signal transduction // regulation of body fluid levels // cell-cell junction // regulation of localization // cellular response to organic cyclic compound // cellular response to endogenous stimulus // plasma membrane
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000120063	GNA13	guanine nucleotide binding protein (G protein), alpha 13 [Source:HGNC Symbol;Acc:HGNC:4381]	14	0.102941176471	ENSG00000120063	molecular transducer activity // metal ion binding // regulation of cell shape // extracellular region part // adenylate cyclase-modulating G-protein coupled receptor signaling pathway // anatomical structure formation involved in morphogenesis // coagulation // cell activation // plasma membrane part // regulation of body fluid levels // cation homeostasis // regulation of localization // G-protein beta/gamma-subunit complex binding // plasma membrane
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000147065	MSN	moesin [Source:HGNC Symbol;Acc:HGNC:7373]	13	0.0955882352941	ENSG00000147065	establishment of endothelial barrier // cell-substrate junction // extracellular region part // filopodium // actin binding // apical part of cell // plasma membrane part // membrane to membrane docking // adherens junction // regulation of localization // leukocyte migration // leukocyte cell-cell adhesion // plasma membrane
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000137710	RDX	radixin [Source:HGNC Symbol;Acc:HGNC:9944]	13	0.0955882352941	ENSG00000137710	establishment of endothelial barrier // cell-substrate junction // extracellular region part // filopodium // actin binding // apical part of cell // negative regulation of protein complex disassembly // plasma membrane part // adherens junction // cell projection assembly // ruffle // negative regulation of actin filament polymerization // plasma membrane
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000082781	ITGB5	integrin, beta 5 [Source:HGNC Symbol;Acc:HGNC:6160]	13	0.0955882352941	ENSG00000082781	molecular transducer activity // muscle system process // cell-substrate junction // extracellular region part // phagocytic vesicle // integrin-mediated signaling pathway // protein complex involved in cell adhesion // plasma membrane part // adherens junction // multicellular organismal development // extracellular structure organization // integrin binding // plasma membrane
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000004468	CD38	CD38 molecule [Source:HGNC Symbol;Acc:HGNC:1667]	13	0.0955882352941	ENSG00000004468	positive regulation of vasoconstriction // multi-multicellular organism process // response to alcohol // negative regulation of synaptic transmission // positive regulation of cell proliferation // cell surface // cation homeostasis // regulation of localization // response to drug // response to interleukin-1 // response to retinoic acid // reproductive process // plasma membrane
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000204287	HLA-DRA	major histocompatibility complex, class II, DR alpha [Source:HGNC Symbol;Acc:HGNC:4947]	12	0.0882352941176	ENSG00000204287	molecular transducer activity // peptide antigen binding // extracellular region part // ER to Golgi transport vesicle membrane // interferon-gamma-mediated signaling pathway // vacuole // regulation of cell adhesion // plasma membrane part // cell surface // integral component of lumenal side of endoplasmic reticulum membrane // plasma membrane // lysosomal membrane
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000197081	IGF2R	insulin-like growth factor 2 receptor [Source:HGNC Symbol;Acc:HGNC:5467]	12	0.0882352941176	ENSG00000197081	organelle envelope lumen // molecular transducer activity // late endosome // extracellular region part // glycoprotein binding // regeneration // plasma membrane part // cell surface // response to retinoic acid // reproductive process // plasma membrane // lysosomal membrane
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000185896	LAMP1	lysosomal-associated membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:6499]	12	0.0882352941176	ENSG00000185896	regulation of cell killing // late endosome // protein domain specific binding // extracellular region part // phagocytic vesicle membrane // vacuole // plasma membrane part // cell surface // regulation of localization // protein stabilization // plasma membrane // lysosomal membrane
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000167461	RAB8A	RAB8A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:7007]	12	0.0882352941176	ENSG00000167461	organelle membrane fusion // extracellular region part // cilium // ciliary basal body // anatomical structure formation involved in morphogenesis // phagocytic vesicle // phagocytic vesicle membrane // cellular response to nitrogen compound // regulation of localization // cellular response to endogenous stimulus // cell projection assembly // plasma membrane
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000140678	ITGAX	integrin, alpha X (complement component 3 receptor 4 subunit) [Source:HGNC Symbol;Acc:HGNC:6152]	12	0.0882352941176	ENSG00000140678	molecular transducer activity // metal ion binding // response to other organism // coagulation // integrin-mediated signaling pathway // protein complex involved in cell adhesion // plasma membrane part // regulation of body fluid levels // cell surface // leukocyte migration // extracellular structure organization // plasma membrane
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000100097	LGALS1	lectin, galactoside-binding, soluble, 1 [Source:HGNC Symbol;Acc:HGNC:6561]	12	0.0882352941176	ENSG00000100097	molecular transducer activity // regulation of I-kappaB kinase/NF-kappaB signaling // laminin binding // extracellular region part // cell activation // protein dimerization activity // regulation of cell adhesion // positive regulation of intracellular signal transduction // glycoprotein binding // cell surface // cellular response to organic cyclic compound // response to drug
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000095637	SORBS1	sorbin and SH3 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14565]	12	0.0882352941176	ENSG00000095637	muscle system process // cell-substrate junction // cell-substrate adhesion // actin binding // cellular response to nitrogen compound // plasma membrane part // adherens junction // cell-cell junction // regulation of localization // cell junction assembly // cellular response to endogenous stimulus // membrane raft
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000206503	HLA-A	major histocompatibility complex, class I, A [Source:HGNC Symbol;Acc:HGNC:4931]	11	0.0808823529412	ENSG00000206503	regulation of cell killing // peptide antigen binding // extracellular region part // negative regulation of immune system process // ER to Golgi transport vesicle membrane // phagocytic vesicle membrane // interferon-gamma-mediated signaling pathway // plasma membrane part // cell surface // integral component of lumenal side of endoplasmic reticulum membrane // plasma membrane
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000172270	BSG	basigin (Ok blood group) [Source:HGNC Symbol;Acc:HGNC:1116]	11	0.0808823529412	ENSG00000172270	extracellular region part // coagulation // sperm part // plasma membrane part // regulation of body fluid levels // leukocyte migration // extracellular structure organization // reproductive process // plasma membrane // odontogenesis of dentin-containing tooth // membrane raft
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000169504	CLIC4	chloride intracellular channel 4 [Source:HGNC Symbol;Acc:HGNC:13518]	11	0.0808823529412	ENSG00000169504	keratinocyte differentiation // extracellular region part // cell morphogenesis involved in differentiation // anatomical structure formation involved in morphogenesis // apical part of cell // cell surface // cell-cell junction // cation homeostasis // regulation of localization // reproductive process // plasma membrane
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000160307	S100B	S100 calcium binding protein B [Source:HGNC Symbol;Acc:HGNC:10500]	11	0.0808823529412	ENSG00000160307	metal ion binding // regulation of I-kappaB kinase/NF-kappaB signaling // response to corticosteroid // regulation of cell shape // extracellular region part // S100 protein binding // protein dimerization activity // calcium-dependent protein binding // positive regulation of intracellular signal transduction // positive regulation of cell proliferation // ruffle
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000152818	UTRN	utrophin [Source:HGNC Symbol;Acc:HGNC:12635]	11	0.0808823529412	ENSG00000152818	muscle system process // metal ion binding // extracellular region part // filopodium // actin binding // regulation of cell adhesion // plasma membrane part // regulation of localization // synapse // integrin binding // plasma membrane
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000117525	F3	coagulation factor III (thromboplastin, tissue factor) [Source:HGNC Symbol;Acc:HGNC:3541]	11	0.0808823529412	ENSG00000117525	regulation of positive chemotaxis // extracellular region part // coagulation // regulation of coagulation // positive regulation of intracellular signal transduction // plasma membrane part // positive regulation of cell proliferation // regulation of body fluid levels // cell surface // regulation of localization // plasma membrane
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000104067	TJP1	tight junction protein 1 [Source:HGNC Symbol;Acc:HGNC:11827]	11	0.0808823529412	ENSG00000104067	sensory perception of sound // protein domain specific binding // anatomical structure formation involved in morphogenesis // apical part of cell // response to alcohol // plasma membrane part // adherens junction // cell-cell junction // cell junction assembly // response to drug // plasma membrane
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000005893	LAMP2	lysosomal-associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501]	11	0.0808823529412	ENSG00000005893	late endosome // protein domain specific binding // extracellular region part // coagulation // phagocytic vesicle membrane // cell activation // vacuole // regulation of body fluid levels // protein stabilization // plasma membrane // lysosomal membrane
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000189058	APOD	apolipoprotein D [Source:HGNC Symbol;Acc:HGNC:612]	10	0.0735294117647	ENSG00000189058	developmental growth // regulation of cell junction assembly // response to other organism // extracellular region part // negative regulation of immune system process // anatomical structure formation involved in morphogenesis // regulation of cell adhesion // regeneration // regulation of localization // response to drug
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000170558	CDH2	cadherin 2, type 1, N-cadherin (neuronal) [Source:HGNC Symbol;Acc:HGNC:1759]	10	0.0735294117647	ENSG00000170558	metal ion binding // extracellular region part // positive regulation of intracellular signal transduction // plasma membrane part // adherens junction // cell-cell junction // cell junction assembly // synapse // plasma membrane // heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000170458	CD14	CD14 molecule [Source:HGNC Symbol;Acc:HGNC:1628]	10	0.0735294117647	ENSG00000170458	molecular transducer activity // extracellular region part // inflammatory response // response to alcohol // cell surface // cellular response to lipid // regulation of localization // response to tumor necrosis factor // plasma membrane // membrane raft
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000169604	ANTXR1	anthrax toxin receptor 1 [Source:HGNC Symbol;Acc:HGNC:21014]	10	0.0735294117647	ENSG00000169604	molecular transducer activity // metal ion binding // cell-substrate adhesion // extracellular region part // cell morphogenesis involved in differentiation // actin binding // plasma membrane part // actin filament binding // collagen binding // reproductive process
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000169313	P2RY12	purinergic receptor P2Y, G-protein coupled, 12 [Source:HGNC Symbol;Acc:HGNC:18124]	10	0.0735294117647	ENSG00000169313	molecular transducer activity // adenylate cyclase-modulating G-protein coupled receptor signaling pathway // coagulation // cell activation // plasma membrane part // regulation of body fluid levels // regulation of localization // homotypic cell-cell adhesion // plasma membrane // membrane raft
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000077549	CAPZB	capping protein (actin filament) muscle Z-line, beta [Source:HGNC Symbol;Acc:HGNC:1491]	10	0.0735294117647	ENSG00000077549	extracellular region part // actin binding // coagulation // negative regulation of protein complex disassembly // sperm part // regulation of body fluid levels // actin filament binding // cell-cell junction // cell projection assembly // negative regulation of actin filament polymerization
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000024422	EHD2	EH-domain containing 2 [Source:HGNC Symbol;Acc:HGNC:3243]	10	0.0735294117647	ENSG00000024422	metal ion binding // protein domain specific binding // extracellular region part // coagulation // cortical cytoskeleton organization // plasma membrane part // regulation of body fluid levels // regulation of localization // plasma membrane // membrane raft
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000273749	CYFIP1	cytoplasmic FMR1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:13759]	9	0.0661764705882	ENSG00000273749	developmental growth // regulation of cell shape // extracellular region part // actin binding // actin filament binding // cell projection assembly // Rho GTPase binding // synapse // ruffle
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000261371	PECAM1	platelet/endothelial cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:8823]	9	0.0661764705882	ENSG00000261371	regulation of peptidyl-tyrosine phosphorylation // wound healing // positive regulation of intracellular signal transduction // plasma membrane part // cell surface // regulation of localization // negative regulation of actin filament polymerization // plasma membrane // membrane raft
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000197702	PARVA	parvin, alpha [Source:HGNC Symbol;Acc:HGNC:14652]	9	0.0661764705882	ENSG00000197702	cell-substrate junction // cell-substrate adhesion // regulation of cell shape // cell morphogenesis involved in differentiation // actin binding // anatomical structure formation involved in morphogenesis // adherens junction // cell junction assembly // plasma membrane
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000196975	ANXA4	annexin A4 [Source:HGNC Symbol;Acc:HGNC:542]	9	0.0661764705882	ENSG00000196975	calcium-dependent phospholipid binding // metal ion binding // extracellular region part // regulation of coagulation // calcium-dependent protein binding // phospholipase inhibitor activity // cell surface // regulation of localization // plasma membrane
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000177119	ANO6	anoctamin 6 [Source:HGNC Symbol;Acc:HGNC:25240]	9	0.0661764705882	ENSG00000177119	extracellular region part // coagulation // regulation of coagulation // protein dimerization activity // regulation of body fluid levels // regulation of endothelial cell apoptotic process // regulation of localization // leukocyte migration // plasma membrane
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000162909	CAPN2	calpain 2, (m/II) large subunit [Source:HGNC Symbol;Acc:HGNC:1479]	9	0.0661764705882	ENSG00000162909	metal ion binding // extracellular region part // anatomical structure formation involved in morphogenesis // cellular response to nitrogen compound // protein dimerization activity // calcium-dependent cysteine-type endopeptidase activity // cellular response to endogenous stimulus // plasma membrane // membrane raft
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000155380	SLC16A1	solute carrier family 16 (monocarboxylate transporter), member 1 [Source:HGNC Symbol;Acc:HGNC:10922]	9	0.0661764705882	ENSG00000155380	extracellular region part // coagulation // protein dimerization activity // plasma membrane part // regulation of body fluid levels // regulation of localization // cellular response to organic cyclic compound // leukocyte migration // plasma membrane
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000116266	STXBP3	syntaxin binding protein 3 [Source:HGNC Symbol;Acc:HGNC:11446]	9	0.0661764705882	ENSG00000116266	extracellular region part // coagulation // cell activation // plasma membrane part // regulation of body fluid levels // regulation of localization // homotypic cell-cell adhesion // specific granule // plasma membrane
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000108946	PRKAR1A	protein kinase, cAMP-dependent, regulatory, type I, alpha [Source:HGNC Symbol;Acc:HGNC:9388]	9	0.0661764705882	ENSG00000108946	anatomical structure formation involved in morphogenesis // coagulation // cellular response to nitrogen compound // fluid transport // regulation of body fluid levels // regulation of localization // cellular response to endogenous stimulus // synapse // plasma membrane
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000103496	STX4	syntaxin 4 [Source:HGNC Symbol;Acc:HGNC:11439]	9	0.0661764705882	ENSG00000103496	extracellular region part // coagulation // cell activation // vacuole // plasma membrane part // regulation of body fluid levels // cell surface // specific granule // plasma membrane
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000075785	RAB7A	RAB7A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9788]	9	0.0661764705882	ENSG00000075785	late endosome // organelle membrane fusion // extracellular region part // phagocytic vesicle // phagocytic vesicle membrane // vacuole // cation homeostasis // Rho GTPase binding // lysosomal membrane
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000073712	FERMT2	fermitin family member 2 [Source:HGNC Symbol;Acc:HGNC:15767]	9	0.0661764705882	ENSG00000073712	cell-substrate junction // cell-substrate adhesion // regulation of cell shape // cell morphogenesis involved in differentiation // integrin-mediated signaling pathway // plasma membrane part // cell surface // adherens junction // cell junction assembly
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000046653	GPM6B	glycoprotein M6B [Source:HGNC Symbol;Acc:HGNC:4461]	9	0.0661764705882	ENSG00000046653	ossification // regulation of cell junction assembly // regulation of ossification // regulation of cell adhesion // negative regulation of synaptic transmission // regulation of localization // extracellular structure organization // plasma membrane // membrane raft
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000172380	GNG12	guanine nucleotide binding protein (G protein), gamma 12 [Source:HGNC Symbol;Acc:HGNC:19663]	8	0.0588235294118	ENSG00000172380	molecular transducer activity // protein domain specific binding // extracellular region part // cellular response to nitrogen compound // plasma membrane part // cellular response to endogenous stimulus // actin filament // plasma membrane
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000165168	CYBB	cytochrome b-245, beta polypeptide [Source:HGNC Symbol;Acc:HGNC:2578]	8	0.0588235294118	ENSG00000165168	metal ion binding // inflammatory response // phagocytic vesicle membrane // protein dimerization activity // plasma membrane part // regulation of localization // response to drug // plasma membrane
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000164111	ANXA5	annexin A5 [Source:HGNC Symbol;Acc:HGNC:543]	8	0.0588235294118	ENSG00000164111	calcium-dependent phospholipid binding // metal ion binding // extracellular region part // coagulation // regulation of coagulation // phospholipase inhibitor activity // plasma membrane part // regulation of body fluid levels
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000164050	PLXNB1	plexin B1 [Source:HGNC Symbol;Acc:HGNC:9103]	8	0.0588235294118	ENSG00000164050	molecular transducer activity // ossification // regulation of cell shape // regulation of cell adhesion // positive regulation of intracellular signal transduction // plasma membrane part // multicellular organismal development // plasma membrane
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000138185	ENTPD1	ectonucleoside triphosphate diphosphohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:3363]	8	0.0588235294118	ENSG00000138185	extracellular matrix part // extracellular region part // coagulation // cell activation // plasma membrane part // regulation of body fluid levels // purine nucleoside diphosphate metabolic process // plasma membrane
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000131236	CAP1	CAP, adenylate cyclase-associated protein 1 (yeast) [Source:HGNC Symbol;Acc:HGNC:20040]	8	0.0588235294118	ENSG00000131236	extracellular region part // positive regulation of lyase activity // actin binding // coagulation // cell activation // regulation of body fluid levels // positive regulation of cyclase activity // plasma membrane
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000124942	AHNAK	AHNAK nucleoprotein [Source:HGNC Symbol;Acc:HGNC:347]	8	0.0588235294118	ENSG00000124942	extracellular region part // S100 protein binding // plasma membrane part // cell-cell junction // regulation of localization // plasma membrane // membrane raft // lysosomal membrane
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000122359	ANXA11	annexin A11 [Source:HGNC Symbol;Acc:HGNC:535]	8	0.0588235294118	ENSG00000122359	calcium-dependent phospholipid binding // metal ion binding // extracellular region part // S100 protein binding // phagocytic vesicle // vacuole // calcium-dependent protein binding // specific granule
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000006747	SCIN	scinderin [Source:HGNC Symbol;Acc:HGNC:21695]	8	0.0588235294118	ENSG00000006747	metal ion binding // extracellular region part // actin binding // positive regulation of myeloid cell differentiation // negative regulation of protein complex disassembly // actin filament binding // regulation of localization // negative regulation of actin filament polymerization
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000213366	GSTM2	glutathione S-transferase mu 2 (muscle) [Source:HGNC Symbol;Acc:HGNC:4634]	7	0.0514705882353	ENSG00000213366	muscle system process // extracellular region part // cellular response to nitrogen compound // protein dimerization activity // regulation of localization // cellular response to organic cyclic compound // cellular response to endogenous stimulus
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000196576	PLXNB2	plexin B2 [Source:HGNC Symbol;Acc:HGNC:9104]	7	0.0514705882353	ENSG00000196576	molecular transducer activity // regulation of cell shape // extracellular region part // anatomical structure formation involved in morphogenesis // plasma membrane part // regulation of localization // multicellular organismal development
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000185236	RAB11B	RAB11B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9761]	7	0.0514705882353	ENSG00000185236	extracellular region part // phagocytic vesicle // response to pH // phagocytic vesicle membrane // amide transport // regulation of localization // hormone transport
yellow_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000161714	PLCD3	phospholipase C, delta 3 [Source:HGNC Symbol;Acc:HGNC:9061]	7	0.0514705882353	ENSG00000161714	molecular transducer activity // metal ion binding // phospholipase activity // phosphoric diester hydrolase activity // anatomical structure formation involved in morphogenesis // reproductive process // plasma membrane
